gate,lift,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
aoi_time_since_last_touch>=49.0,0.0639,163,23.3,0.4724,0.4195,7,1.799
aoi_far_edge_atr<=1.2,0.0578,163,23.3,0.4663,0.4123,6,1.782
session_directional_bias<=-1.91,0.0555,125,17.9,0.464,0.4135,6,1.783
recent_trend_payoff_atr_48h<=-6.08,0.0488,164,23.4,0.4573,0.4083,6,1.779
session_directional_bias>=0.2,0.0481,311,44.5,0.4566,0.3859,7,1.719
aoi_height_atr<=0.95,0.0455,163,23.3,0.454,0.4398,9,1.884
max_retest_penetration_atr<=0.3,0.0439,168,24.0,0.4524,0.3825,10,1.714
aoi_near_edge_atr<=0.06,0.0439,168,24.0,0.4524,0.3703,6,1.684
signal_candle_opposite_extreme_atr<=0.58,0.037,404,57.8,0.4455,0.3366,11,1.607
aoi_height_atr<=1.12,0.0368,411,58.8,0.4453,0.3803,9,1.722
break_impulse_body_atr<=0.37,0.0354,401,57.3,0.4439,0.3317,10,1.596
session_directional_bias>=0.83,0.035,124,17.7,0.4435,0.3538,9,1.645
aoi_midpoint_range_position_mid>=0.9,0.0345,149,21.3,0.443,0.3289,6,1.59
distance_to_next_htf_obstacle_atr<=0.08,0.0332,163,23.3,0.4417,0.3431,8,1.634
recent_trend_payoff_atr_48h>=5.88,0.0332,163,23.3,0.4417,0.3252,8,1.582
distance_from_last_impulse_atr>=4.17,0.0332,163,23.3,0.4417,0.3387,8,1.613
aoi_near_edge_atr<=0.14,0.0326,399,57.0,0.4411,0.3288,7,1.591
distance_from_last_impulse_atr<=0.38,0.0299,406,58.0,0.4384,0.3153,10,1.561
signal_candle_opposite_extreme_atr<=0.41,0.0298,162,23.2,0.4383,0.3148,8,1.56
aoi_far_edge_atr<=1.43,0.0292,409,58.5,0.4377,0.3294,9,1.597
break_impulse_range_atr<=1.14,0.029,816,116.7,0.4375,0.3139,12,1.559
aoi_last_reaction_strength>=0.84,0.0288,327,46.7,0.4373,0.3347,11,1.606
recent_trend_payoff_atr_48h<=-3.34,0.0288,407,58.2,0.4373,0.3343,8,1.608
trend_age_impulses<=3.0,0.0283,261,37.3,0.4368,0.3334,9,1.61
break_impulse_range_atr<=0.83,0.0268,402,57.5,0.4353,0.306,12,1.542
distance_from_last_impulse_atr>=2.23,0.0264,407,58.2,0.4349,0.3191,11,1.573
aoi_last_reaction_strength>=3.77,0.0263,161,23.0,0.4348,0.3043,9,1.538
signal_candle_opposite_extreme_atr<=0.87,0.0246,822,117.5,0.4331,0.3011,12,1.532
distance_to_next_htf_obstacle_atr>=1.89,0.0244,164,23.4,0.4329,0.3287,6,1.592
aoi_midpoint_range_position_mid<=0.43,0.0239,407,58.2,0.4324,0.3133,8,1.562
break_impulse_body_atr<=0.64,0.0238,812,116.1,0.4323,0.302,10,1.535
break_close_location<=0.67,0.0233,403,57.6,0.4318,0.299,9,1.528
retest_candle_body_penetration>=0.92,0.0228,160,22.9,0.4313,0.3391,7,1.624
break_impulse_body_atr<=0.2,0.0219,158,22.6,0.4304,0.2911,7,1.511
aoi_touch_count_since_creation<=2.0,0.0213,349,49.9,0.4298,0.2988,8,1.529
htf_range_size_high_atr>=57.46,0.0209,163,23.3,0.4294,0.2976,8,1.527
signal_candle_opposite_extreme_atr>=1.6,0.0209,163,23.3,0.4294,0.3638,8,1.694
recent_trend_payoff_atr_48h>=3.14,0.0204,408,58.3,0.4289,0.2927,9,1.517
htf_pos<=0.10,0.0195,479,68.5,0.428,0.2996,7,1.532
recent_trend_payoff_atr_24h<=-4.88,0.0183,164,23.4,0.4268,0.3315,7,1.607
bars_between_retest_and_break>=5.0,0.0178,190,27.2,0.4263,0.2903,6,1.511
recent_trend_payoff_atr_24h<=-0.38,0.0178,814,116.4,0.4263,0.2938,11,1.52
aoi_midpoint_range_position_high<=0.81,0.0177,1213,173.4,0.4262,0.2951,12,1.523
aoi_near_edge_atr<=0.32,0.0172,808,115.5,0.4257,0.2818,10,1.493
distance_from_last_impulse_atr>=0.93,0.0171,813,116.2,0.4256,0.2947,9,1.523
max_retest_penetration_atr<=0.49,0.0166,414,59.2,0.4251,0.2885,9,1.508
htf_range_size_mid_atr<=20.32,0.0166,814,116.4,0.4251,0.289,13,1.512
max_retest_penetration_atr>=1.59,0.0165,160,22.9,0.425,0.3012,7,1.541
htf_pos<=0.50,0.016,775,110.8,0.4245,0.2893,11,1.511
htf_pos<=0.40,0.016,775,110.8,0.4245,0.2893,11,1.511
htf_pos<=0.35,0.016,775,110.8,0.4245,0.2893,11,1.511
htf_pos<=0.30,0.016,775,110.8,0.4245,0.2893,11,1.511
aoi_far_edge_atr<=1.7,0.0147,820,117.2,0.4232,0.2887,13,1.511
break_close_location<=0.81,0.0144,811,115.9,0.4229,0.2796,11,1.489
aoi_last_reaction_strength>=0.41,0.0142,485,69.3,0.4227,0.2858,10,1.503
session_directional_bias>=-0.33,0.0141,620,88.6,0.4226,0.2881,8,1.509
aoi_midpoint_range_position_high<=0.29,0.0139,161,23.0,0.4224,0.2875,11,1.509
recent_trend_payoff_atr_24h<=-3.36,0.0135,410,58.6,0.422,0.29,11,1.513
break_close_location<=0.91,0.0129,1208,172.7,0.4214,0.2784,11,1.487
trend_age_impulses<=4.0,0.0127,565,80.8,0.4212,0.2847,10,1.505
aoi_midpoint_range_position_mid<=0.61,0.0124,815,116.5,0.4209,0.276,9,1.483
break_close_location<=0.51,0.0122,164,23.4,0.4207,0.2622,8,1.453
break_impulse_body_atr<=0.99,0.0118,1223,174.8,0.4203,0.2693,10,1.469
