gate1,gate2,lift,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
distance_from_last_impulse_atr<=0.38,session_directional_bias>=0.2,0.154,112,16.0,0.5625,0.6875,5,2.571
aoi_height_atr<=1.12,distance_from_last_impulse_atr<=0.38,0.151,84,12.0,0.5595,0.6786,6,2.541
break_impulse_body_atr<=0.37,session_directional_bias>=0.2,0.1173,97,13.9,0.5258,0.5773,6,2.217
aoi_height_atr<=1.12,break_impulse_body_atr<=0.37,0.1107,104,14.9,0.5192,0.5577,5,2.16
aoi_height_atr<=1.12,signal_candle_opposite_extreme_atr<=0.58,0.0963,105,15.0,0.5048,0.5143,5,2.038
distance_from_last_impulse_atr<=0.38,signal_candle_opposite_extreme_atr<=0.58,0.083,118,16.9,0.4915,0.4746,6,1.933
aoi_height_atr<=1.12,aoi_near_edge_atr<=0.14,0.0821,106,15.2,0.4906,0.4717,5,1.926
aoi_near_edge_atr<=0.06,break_impulse_body_atr<=0.37,0.0757,95,13.6,0.4842,0.4526,4,1.878
aoi_far_edge_atr<=1.2,aoi_height_atr<=1.12,0.0752,153,21.9,0.4837,0.451,5,1.873
aoi_near_edge_atr<=0.14,session_directional_bias>=0.2,0.0743,87,12.4,0.4828,0.4483,8,1.867
break_impulse_body_atr<=0.37,distance_from_last_impulse_atr<=0.38,0.074,114,16.3,0.4825,0.4474,6,1.864
aoi_far_edge_atr<=1.2,aoi_height_atr<=0.95,0.0693,90,12.9,0.4778,0.4333,6,1.83
aoi_far_edge_atr<=1.43,aoi_near_edge_atr<=0.06,0.0667,101,14.4,0.4752,0.4476,6,1.869
aoi_far_edge_atr<=1.43,signal_candle_opposite_extreme_atr<=0.58,0.0624,172,24.6,0.4709,0.4128,9,1.78
aoi_far_edge_atr<=1.2,aoi_near_edge_atr<=0.14,0.0594,109,15.6,0.4679,0.4239,6,1.811
aoi_far_edge_atr<=1.43,aoi_height_atr<=1.12,0.0587,244,34.9,0.4672,0.4201,8,1.81
aoi_far_edge_atr<=1.2,aoi_far_edge_atr<=1.43,0.0578,163,23.3,0.4663,0.4123,6,1.782
aoi_far_edge_atr<=1.43,break_impulse_body_atr<=0.37,0.0564,185,26.4,0.4649,0.3946,6,1.737
aoi_near_edge_atr<=0.14,signal_candle_opposite_extreme_atr<=0.58,0.055,192,27.4,0.4635,0.3906,7,1.728
aoi_far_edge_atr<=1.43,aoi_height_atr<=0.95,0.0537,119,17.0,0.4622,0.4123,8,1.791
max_retest_penetration_atr<=0.3,signal_candle_opposite_extreme_atr<=0.58,0.048,92,13.2,0.4565,0.3696,10,1.68
aoi_height_atr<=0.95,aoi_height_atr<=1.12,0.0455,163,23.3,0.454,0.4398,9,1.884
aoi_far_edge_atr<=1.43,aoi_near_edge_atr<=0.14,0.0449,236,33.7,0.4534,0.3695,9,1.681
aoi_near_edge_atr<=0.06,aoi_near_edge_atr<=0.14,0.0439,168,24.0,0.4524,0.3703,6,1.684
aoi_far_edge_atr<=1.43,distance_from_last_impulse_atr<=0.38,0.0425,102,14.6,0.451,0.3529,7,1.643
aoi_near_edge_atr<=0.14,break_impulse_body_atr<=0.37,0.0415,220,31.5,0.45,0.35,6,1.636
session_directional_bias>=0.2,signal_candle_opposite_extreme_atr<=0.58,0.0381,103,14.7,0.4466,0.3398,10,1.614
break_impulse_body_atr<=0.37,signal_candle_opposite_extreme_atr<=0.58,0.0359,279,39.9,0.4444,0.3333,10,1.6
session_directional_bias>=0.2,session_directional_bias>=0.83,0.035,124,17.7,0.4435,0.3538,9,1.645
aoi_near_edge_atr<=0.06,signal_candle_opposite_extreme_atr<=0.58,0.0347,88,12.6,0.4432,0.3295,5,1.592
signal_candle_opposite_extreme_atr<=0.41,signal_candle_opposite_extreme_atr<=0.58,0.0298,162,23.2,0.4383,0.3148,8,1.56
aoi_near_edge_atr<=0.14,distance_from_last_impulse_atr<=0.38,0.0239,111,15.9,0.4324,0.2973,6,1.524
aoi_near_edge_atr<=0.14,signal_candle_opposite_extreme_atr<=0.41,0.0215,100,14.3,0.43,0.29,8,1.509
break_impulse_body_atr<=0.37,signal_candle_opposite_extreme_atr<=0.41,0.0183,157,22.4,0.4268,0.2803,7,1.489
