depth,gates,delta_win,retain_pct,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
3,bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25 & signal_candle_opposite_extreme_atr>=0.35,0.0334,52.2,974,139.2,0.4405,0.3222,9,1.577
2,bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,0.0308,56.5,1055,150.8,0.4379,0.3146,10,1.56
2,distance_to_next_htf_obstacle_atr>=0.4 & bars_between_retest_and_break<=3,0.027,50.8,949,135.7,0.4341,0.3024,11,1.534
2,bars_between_retest_and_break<=2 & break_close_location>=0.65,0.0268,54.3,1014,145.0,0.4339,0.3026,8,1.535
2,break_close_location>=0.65 & max_retest_penetration_atr<=1.25,0.0268,57.5,1074,153.5,0.4339,0.3025,10,1.535
2,distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,0.0261,58.1,1085,155.1,0.4332,0.3003,10,1.531
2,aoi_far_edge_atr>=1.5 & bars_between_retest_and_break<=3,0.026,52.8,986,141.0,0.4331,0.2992,10,1.528
2,max_retest_penetration_atr<=1.0 & signal_candle_opposite_extreme_atr>=0.5,0.0257,52.2,975,139.4,0.4328,0.2985,18,1.526
2,distance_to_next_htf_obstacle_atr>=0.25 & bars_between_retest_and_break<=3,0.0257,61.0,1139,162.8,0.4328,0.2993,10,1.528
2,break_close_location>=0.7 & max_retest_penetration_atr<=1.25,0.025,50.5,942,134.7,0.4321,0.2971,9,1.524
1,distance_to_next_htf_obstacle_atr>=0.5,0.0245,50.1,936,133.8,0.4316,0.2949,11,1.519
2,break_close_location>=0.65 & bars_between_retest_and_break<=3,0.0243,59.3,1108,158.4,0.4314,0.295,10,1.52
2,bars_between_retest_and_break<=3 & break_close_location>=0.7,0.0228,51.6,963,137.7,0.4299,0.2906,10,1.511
2,bars_between_retest_and_break<=1 & signal_candle_opposite_extreme_atr>=0.5,0.022,53.3,995,142.2,0.4291,0.2874,14,1.504
2,bars_between_retest_and_break<=2 & break_close_location>=0.5,0.0219,66.8,1247,178.3,0.429,0.2878,10,1.505
2,bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.5,0.0215,61.1,1141,163.1,0.4286,0.2857,9,1.5
2,aoi_far_edge_atr>=1.5 & max_retest_penetration_atr<=1.25,0.0215,53.2,994,142.1,0.4286,0.2857,9,1.5
2,bars_between_retest_and_break<=2 & break_close_location>=0.6,0.0204,58.7,1097,156.8,0.4275,0.2834,9,1.496
