cell,param,direction,stability_score,n_years_tested,avg_lift_pp,years_detail
comm|bearish,htf_range_position_mid,mostly_up,6,7,4.35,"2019:up,2020:down,2021:up,2022:up,2023:up,2024:up,2025:up"
comm|bearish,htf_range_position_high,mostly_up,6,7,7.79,"2019:up,2020:up,2021:up,2022:up,2023:up,2024:down,2025:up"
comm|bearish,session_directional_bias,mostly_down,4,7,3.61,"2019:up,2020:down,2021:down,2022:down,2023:down,2024:up,2025:up"
comm|bearish,break_close_location,mostly_down,6,7,4.4,"2019:down,2020:down,2021:down,2022:down,2023:down,2024:up,2025:down"
comm|bearish,break_impulse_range_atr,mostly_down,4,7,2.65,"2019:down,2020:down,2021:down,2022:up,2023:up,2024:up,2025:down"
comm|bearish,break_impulse_body_atr,mostly_down,5,7,3.15,"2019:down,2020:down,2021:down,2022:down,2023:up,2024:up,2025:down"
comm|bearish,retest_candle_body_penetration,mostly_down,5,7,4.32,"2019:down,2020:up,2021:up,2022:down,2023:down,2024:down,2025:down"
comm|bearish,aoi_height_atr,mostly_up,4,6,3.53,"2019:down,2020:up,2021:down,2022:up,2024:up,2025:up"
comm|bearish,distance_to_next_htf_obstacle_atr,mostly_up,5,7,5.61,"2019:down,2020:up,2021:up,2022:up,2023:up,2024:down,2025:up"
comm|bearish,distance_from_last_impulse_atr,mostly_up,5,7,2.64,"2019:down,2020:up,2021:down,2022:up,2023:up,2024:up,2025:up"
comm|bearish,recent_trend_payoff_atr_24h,mostly_down,6,7,4.02,"2019:down,2020:up,2021:down,2022:down,2023:down,2024:down,2025:down"
comm|bearish,recent_trend_payoff_atr_48h,mostly_up,4,7,5.84,"2019:up,2020:up,2021:up,2022:down,2023:down,2024:down,2025:up"
comm|bearish,aoi_time_since_last_touch,mostly_up,6,7,4.85,"2019:up,2020:up,2021:up,2022:up,2023:up,2024:up,2025:down"
comm|bearish,aoi_last_reaction_strength,mostly_up,4,7,3.34,"2019:up,2020:up,2021:up,2022:down,2023:up,2024:down,2025:down"
comm|bearish,htf_range_size_mid_atr,mostly_down,5,7,4.59,"2019:down,2020:down,2021:down,2022:up,2023:down,2024:up,2025:down"
comm|bearish,aoi_midpoint_range_position_mid,mostly_up,5,7,6.37,"2019:up,2020:down,2021:up,2022:up,2023:up,2024:down,2025:up"
comm|bearish,trend_age_bars_1h,mostly_down,4,7,5.36,"2019:up,2020:down,2021:down,2022:up,2023:down,2024:down,2025:up"
comm|bearish,trend_age_impulses,mostly_down,5,7,5.52,"2019:up,2020:down,2021:down,2022:down,2023:down,2024:up,2025:down"
comm|bearish,max_retest_penetration_atr,mostly_down,5,7,3.51,"2019:up,2020:down,2021:down,2022:down,2023:down,2024:up,2025:down"
comm|bearish,bars_between_retest_and_break,mostly_down,4,7,5.08,"2019:up,2020:down,2021:down,2022:down,2023:up,2024:up,2025:down"
comm|bearish,aoi_touch_count_since_creation,mostly_up,5,7,3.66,"2019:down,2020:up,2021:up,2022:up,2023:up,2024:down,2025:up"
comm|bearish,signal_candle_range_atr,mostly_down,4,7,2.65,"2019:down,2020:down,2021:down,2022:up,2023:up,2024:up,2025:down"
comm|bearish,signal_candle_body_atr,mostly_down,5,7,3.15,"2019:down,2020:down,2021:down,2022:down,2023:up,2024:up,2025:down"
comm|bearish,aoi_near_edge_atr,mostly_down,5,7,3.24,"2019:down,2020:down,2021:down,2022:up,2023:up,2024:down,2025:down"
comm|bearish,aoi_far_edge_atr,mostly_up,4,7,4.85,"2019:down,2020:down,2021:down,2022:up,2023:up,2024:up,2025:up"
comm|bearish,opp_extreme,mostly_down,4,7,2.55,"2019:down,2020:down,2021:up,2022:up,2023:down,2024:up,2025:down"
comm|bearish,trend_alignment_strength,mixed,3,6,5.65,"2019:up,2020:down,2021:up,2022:down,2023:down,2024:up"
comm|bearish,hour_of_day_utc,mostly_up,5,7,3.02,"2019:down,2020:down,2021:up,2022:up,2023:up,2024:up,2025:up"
comm|bearish,conflicted_tf,mostly_down,4,7,5.63,"2019:up,2020:down,2021:down,2022:up,2023:down,2024:down,2025:up"
comm|bullish,htf_range_position_mid,mostly_down,6,7,5.56,"2019:down,2020:down,2021:down,2022:down,2023:down,2024:up,2025:down"
comm|bullish,htf_range_position_high,mostly_up,4,7,4.33,"2019:up,2020:down,2021:down,2022:up,2023:up,2024:up,2025:down"
comm|bullish,session_directional_bias,mostly_down,4,7,1.82,"2019:down,2020:down,2021:down,2022:up,2023:tie,2024:up,2025:down"
comm|bullish,break_close_location,mostly_up,4,7,3.29,"2019:up,2020:down,2021:up,2022:down,2023:up,2024:up,2025:down"
comm|bullish,break_impulse_range_atr,mostly_up,5,7,3.12,"2019:down,2020:up,2021:down,2022:up,2023:up,2024:up,2025:up"
comm|bullish,break_impulse_body_atr,mostly_up,4,7,2.64,"2019:down,2020:down,2021:down,2022:up,2023:up,2024:up,2025:up"
comm|bullish,retest_candle_body_penetration,mostly_up,4,7,3.76,"2019:up,2020:down,2021:down,2022:up,2023:up,2024:down,2025:up"
comm|bullish,aoi_height_atr,mostly_down,4,6,2.95,"2019:down,2020:up,2021:down,2022:down,2024:up,2025:down"
comm|bullish,distance_to_next_htf_obstacle_atr,mostly_up,6,7,1.7,"2019:up,2020:up,2021:up,2022:down,2023:up,2024:up,2025:up"
comm|bullish,distance_from_last_impulse_atr,mostly_down,4,7,2.78,"2019:up,2020:up,2021:down,2022:down,2023:down,2024:down,2025:up"
comm|bullish,recent_trend_payoff_atr_24h,mostly_down,5,7,3.04,"2019:down,2020:down,2021:down,2022:up,2023:down,2024:up,2025:down"
comm|bullish,recent_trend_payoff_atr_48h,mostly_down,6,7,4.2,"2019:down,2020:down,2021:down,2022:down,2023:down,2024:up,2025:down"
comm|bullish,aoi_time_since_last_touch,mostly_up,4,7,3.38,"2019:up,2020:up,2021:down,2022:down,2023:up,2024:down,2025:up"
