sl_model,n_groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_ATR_0_5,2,aoi_near_edge_atr>=0.5,718,102.6,0.4081,0.2242,10,1.379
SL_ATR_0_5,2,htf_range_mid>=0.4 & break_close_location>=0.65,780,111.5,0.4051,0.2154,16,1.362
SL_ATR_0_5,2,break_close_location>=0.7 & max_retest_penetration_atr<=1.25,878,125.5,0.4043,0.213,11,1.358
SL_ATR_1_0,6,aoi_far_edge_atr>=2.0,756,108.1,0.4034,0.2103,14,1.353
SL_ATR_0_5,2,break_close_location>=0.65 & max_retest_penetration_atr<=1.25,962,137.5,0.4002,0.2006,13,1.334
SL_ATR_0_5,2,break_close_location>=0.75,1043,149.1,0.3969,0.1908,11,1.316
SL_ATR_0_5,2,bars_between_retest_and_break<=2 & break_close_location>=0.65,955,136.5,0.3969,0.1906,12,1.316
SL_ATR_0_5,2,max_retest_penetration_atr<=1.0 & signal_candle_opposite_extreme_atr>=0.5,882,126.1,0.3968,0.1905,15,1.316
SL_ATR_1_0,6,distance_to_next_htf_obstacle_atr>=0.5 & break_close_location>=0.65,1013,144.8,0.3968,0.1923,13,1.319
SL_ATR_0_5,2,break_close_location>=0.7,1180,168.7,0.3966,0.1898,12,1.315
SL_ATR_1_0,6,break_close_location>=0.7 & max_retest_penetration_atr<=1.25,1478,211.3,0.3958,0.188,14,1.311
SL_ATR_0_5,2,break_close_location>=0.65,1284,183.6,0.3956,0.1869,14,1.309
SL_ATR_0_5,2,bars_between_retest_and_break<=2 & aoi_far_edge_atr>=1.5,876,125.2,0.395,0.1849,11,1.306
SL_ATR_1_0,6,htf_dir>=0.4 & bars_between_retest_and_break<=2,1128,161.3,0.3945,0.1851,12,1.306
SL_ATR_1_0,6,max_retest_penetration_atr<=0.5,834,119.2,0.3945,0.1856,10,1.307
SL_ATR_1_0,6,break_close_location>=0.65 & max_retest_penetration_atr<=1.25,1691,241.7,0.3938,0.1831,15,1.303
SL_ATR_0_5,2,aoi_far_edge_atr>=1.5,1179,168.5,0.3936,0.1807,13,1.298
SL_ATR_0_5,2,htf_range_size_mid_atr>=20,861,123.1,0.3926,0.1777,12,1.293
SL_ATR_1_0,6,aoi_near_edge_atr>=0.5,857,122.5,0.3921,0.1762,13,1.29
SL_ATR_0_5,2,bars_between_retest_and_break<=2 & max_retest_penetration_atr<=1.25,1091,156.0,0.3914,0.1742,15,1.286
SL_ATR_0_5,2,bars_between_retest_and_break<=2 & break_close_location>=0.5,1128,161.3,0.3901,0.1702,14,1.279
SL_ATR_1_0,6,htf_range_mid>=0.4 & break_close_location>=0.65,1255,179.4,0.3896,0.1696,14,1.278
SL_ATR_0_5,2,max_retest_penetration_atr<=1.25 & signal_candle_opposite_extreme_atr>=0.35,1204,172.1,0.3895,0.1686,17,1.276
SL_ATR_0_5,2,signal_candle_opposite_extreme_atr>=0.5,1466,209.6,0.3895,0.1685,17,1.276
SL_ATR_1_0,6,htf_dir>=0.4 & bars_between_retest_and_break<=3,1248,178.4,0.3894,0.1697,13,1.278
SL_ATR_1_0,6,distance_to_next_htf_obstacle_atr>=0.5,1451,207.4,0.3887,0.1674,14,1.274
SL_ATR_0_5,2,break_close_location>=0.5,1503,214.9,0.3886,0.1657,17,1.271
SL_ATR_0_5,2,bars_between_retest_and_break<=1,1058,151.2,0.3885,0.1654,13,1.27
SL_ATR_1_0,6,bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.5,1283,183.4,0.3882,0.1659,17,1.271
SL_ATR_0_5,2,max_retest_penetration_atr<=1.0,1002,143.2,0.3882,0.1647,16,1.269
SL_ATR_0_5,2,bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,1185,169.4,0.3882,0.1646,15,1.269
SL_ATR_1_0,6,distance_to_next_htf_obstacle_atr>=0.5 & bars_between_retest_and_break<=3,1283,183.4,0.3882,0.1659,17,1.271
SL_ATR_0_5,2,htf_range_size_mid_atr>=15,1358,194.1,0.3881,0.1642,16,1.268
SL_ATR_0_5,2,trend_age_impulses>=3,1541,220.3,0.3881,0.1642,18,1.268
