n_groups,groups,group_config,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_to_next_htf_obstacle_atr>=0.5,1220,174.4,0.3959,0.1959,12,1.327
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_to_next_htf_obstacle_atr>=0.5 & break_close_location>=0.65,922,131.8,0.3948,0.1952,10,1.326
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_dir>=0.4 & bars_between_retest_and_break<=2,872,124.7,0.3933,0.1909,12,1.318
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_to_next_htf_obstacle_atr>=0.75,850,121.5,0.3918,0.1825,10,1.302
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_dir>=0.4 & bars_between_retest_and_break<=3,996,142.4,0.3906,0.1812,12,1.3
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_dir>=0.4,1263,180.6,0.3903,0.1815,13,1.3
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_from_last_impulse_atr>=1.5,727,103.9,0.3865,0.1739,16,1.287
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_dir>=0.45,1170,167.3,0.3855,0.1677,13,1.276
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bear_htf>=0.7&bull_htf>=0.3,1284,183.6,0.3847,0.1601,14,1.262
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_dir>=0.5,1071,153.1,0.3847,0.1629,13,1.267
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_range_mid>=0.5,1264,180.7,0.3829,0.1564,11,1.255
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.5,1045,149.4,0.3828,0.1579,11,1.258
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_to_next_htf_obstacle_atr>=0.5 & bars_between_retest_and_break<=3,1045,149.4,0.3828,0.1579,11,1.258
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bear_htf>=0.4&bull_htf>=0.3,1565,223.7,0.3821,0.1549,14,1.253
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_from_last_impulse_atr>=0.5,1619,231.4,0.3817,0.1541,12,1.251
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,aoi_far_edge_atr>=1.5,1676,239.6,0.3807,0.1546,12,1.253
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_range_mid>=0.4,1448,207.0,0.3805,0.1508,13,1.246
