portfolio,gate,depth,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
fixed_top15,htf_dir>=0.4 & bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,3,710,101.5,0.4423,0.3268,8,1.586
fixed_top15,htf_range_mid>=0.4 & break_close_location>=0.65,2,802,114.6,0.4389,0.3178,11,1.567
fixed_top15,htf_dir>=0.4 & bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,3,718,102.6,0.4387,0.3162,10,1.563
fixed_top15,htf_dir>=0.4 & bars_between_retest_and_break<=2,2,773,110.5,0.4373,0.3118,11,1.554
fixed_top15,htf_range_mid>=0.45 & break_close_location>=0.65,2,751,107.4,0.4341,0.3034,11,1.537
fixed_top15,htf_range_mid>=0.4 & distance_to_next_htf_obstacle_atr>=0.25,2,762,108.9,0.4331,0.3003,10,1.531
fixed_top15,htf_range_mid>=0.4 & aoi_far_edge_atr>=1.5,2,733,104.8,0.4325,0.2974,8,1.524
fixed_top15,htf_dir>=0.4 & max_retest_penetration_atr<=1.25,2,801,114.5,0.432,0.2959,9,1.521
fixed_top15,htf_dir>=0.4 & max_retest_penetration_atr<=1.25,2,801,114.5,0.432,0.2959,9,1.521
fixed_top15,htf_dir>=0.4 & bars_between_retest_and_break<=3,2,839,119.9,0.4303,0.2908,11,1.51
fixed_top15,htf_range_mid>=0.45 & distance_to_next_htf_obstacle_atr>=0.25,2,711,101.6,0.429,0.2881,10,1.506
fixed_top15,htf_dir>=0.4 & break_close_location>=0.65,2,734,104.9,0.4264,0.2793,9,1.487
fixed_top15,htf_dir>=0.4 & break_close_location>=0.65,2,734,104.9,0.4264,0.2793,9,1.487
fixed_top15,htf_dir>=0.45 & bars_between_retest_and_break<=2,2,713,101.9,0.4264,0.2791,9,1.487
fixed_top15,htf_range_mid>=0.4 & max_retest_penetration_atr<=1.25,2,835,119.4,0.4251,0.2765,11,1.482
fixed_top15,htf_range_mid>=0.4 & bars_between_retest_and_break<=3,2,845,120.8,0.4249,0.2756,13,1.48
fixed_top15,htf_range_mid>=0.45 & bars_between_retest_and_break<=3,2,786,112.4,0.4249,0.2759,13,1.481
fixed_top15,htf_range_mid>=0.4 & signal_candle_opposite_extreme_atr>=0.35,2,1003,143.4,0.4247,0.275,14,1.479
fixed_top15,htf_dir>=0.4 & distance_to_next_htf_obstacle_atr>=0.25,2,821,117.4,0.4239,0.2716,10,1.471
fixed_top15,htf_dir>=0.4 & distance_to_next_htf_obstacle_atr>=0.25,2,821,117.4,0.4239,0.2716,10,1.471
fixed_top15,htf_range_mid>=0.4 & bars_between_retest_and_break<=2,2,774,110.6,0.4238,0.2724,13,1.474
fixed_top15,htf_range_mid>=0.45 & bars_between_retest_and_break<=2,2,719,102.8,0.4228,0.2696,13,1.468
fixed_top15,htf_range_mid>=0.5 & bars_between_retest_and_break<=3,2,727,103.9,0.4223,0.268,11,1.465
fixed_top15,htf_range_mid>=0.45 & max_retest_penetration_atr<=1.25,2,775,110.8,0.4219,0.2669,10,1.463
fixed_top15,htf_range_mid>=0.45 & signal_candle_opposite_extreme_atr>=0.35,2,932,133.2,0.4206,0.2627,12,1.454
fixed_top15,htf_range_mid>=0.4 & break_close_location>=0.5,2,964,137.8,0.4201,0.2613,13,1.451
fixed_top15,htf_range_mid>=0.5 & signal_candle_opposite_extreme_atr>=0.35,2,868,124.1,0.4194,0.2591,11,1.447
fixed_top15,htf_range_mid>=0.4,1,1071,153.1,0.4192,0.2585,14,1.446
fixed_top15,htf_dir>=0.45 & max_retest_penetration_atr<=1.25,2,738,105.5,0.4187,0.2561,9,1.441
fixed_top15,htf_dir>=0.45 & max_retest_penetration_atr<=1.25,2,738,105.5,0.4187,0.2561,9,1.441
fixed_top15,htf_range_mid>=0.5 & max_retest_penetration_atr<=1.25,2,715,102.2,0.4182,0.2558,10,1.44
fixed_top15,htf_dir>=0.45 & bars_between_retest_and_break<=3,2,775,110.8,0.4181,0.2542,9,1.437
fixed_top15,htf_dir>=0.4 & signal_candle_opposite_extreme_atr>=0.35,2,955,136.5,0.4178,0.2534,10,1.435
fixed_top15,htf_dir>=0.4 & signal_candle_opposite_extreme_atr>=0.35,2,955,136.5,0.4178,0.2534,10,1.435
fixed_top15,htf_dir>=0.4,1,1019,145.7,0.4171,0.2512,11,1.431
fixed_top15,htf_range_mid>=0.45 & break_close_location>=0.5,2,902,128.9,0.4169,0.2515,12,1.432
fixed_top15,htf_range_mid>=0.5 & break_close_location>=0.5,2,839,119.9,0.416,0.2489,12,1.427
fixed_top15,htf_range_mid>=0.45,1,998,142.7,0.4148,0.2454,12,1.42
fixed_top15,htf_dir>=0.5 & bars_between_retest_and_break<=3,2,717,102.5,0.4142,0.2427,9,1.414
fixed_top15,htf_dir>=0.4 & break_close_location>=0.5,2,901,128.8,0.414,0.242,9,1.413
top10_win,htf_dir>=0.4 & bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,3,713,101.9,0.4137,0.2412,11,1.411
top10_win,htf_dir>=0.4 & distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,3,701,100.2,0.4137,0.2411,11,1.411
