bear_gate,bull_gate,gate_combined,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,bear[aoi_touch_count_since_creation<=3.0]  +  bull[session_directional_bias>=0.2],834,119.2,0.4856,0.4642,12,1.909
aoi_touch_count_since_creation<=3.0,signal_candle_opposite_extreme_atr<=0.58,bear[aoi_touch_count_since_creation<=3.0]  +  bull[signal_candle_opposite_extreme_atr<=0.58],927,132.5,0.4779,0.4349,13,1.835
aoi_touch_count_since_creation<=3.0,aoi_last_reaction_strength>=0.84,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_last_reaction_strength>=0.84],850,121.5,0.4776,0.443,11,1.857
aoi_touch_count_since_creation<=3.0,aoi_height_atr<=1.12,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_height_atr<=1.12],934,133.5,0.4775,0.4533,11,1.891
aoi_touch_count_since_creation<=3.0,break_impulse_body_atr<=0.37,bear[aoi_touch_count_since_creation<=3.0]  +  bull[break_impulse_body_atr<=0.37],924,132.1,0.4773,0.433,11,1.83
aoi_touch_count_since_creation<=3.0,aoi_near_edge_atr<=0.14,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_near_edge_atr<=0.14],922,131.8,0.4761,0.432,10,1.828
aoi_touch_count_since_creation<=3.0,distance_from_last_impulse_atr<=0.38,bear[aoi_touch_count_since_creation<=3.0]  +  bull[distance_from_last_impulse_atr<=0.38],929,132.8,0.4747,0.4253,13,1.811
aoi_touch_count_since_creation<=3.0,aoi_far_edge_atr<=1.43,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_far_edge_atr<=1.43],932,133.2,0.4742,0.4312,9,1.829
aoi_touch_count_since_creation<=3.0,recent_trend_payoff_atr_48h<=-3.34,bear[aoi_touch_count_since_creation<=3.0]  +  bull[recent_trend_payoff_atr_48h<=-3.34],930,132.9,0.4742,0.4335,13,1.835
aoi_touch_count_since_creation<=3.0,break_impulse_range_atr<=0.83,bear[aoi_touch_count_since_creation<=3.0]  +  bull[break_impulse_range_atr<=0.83],925,132.2,0.4735,0.4217,11,1.803
aoi_touch_count_since_creation<=3.0,distance_from_last_impulse_atr>=2.23,bear[aoi_touch_count_since_creation<=3.0]  +  bull[distance_from_last_impulse_atr>=2.23],930,132.9,0.4731,0.4269,14,1.818
aoi_touch_count_since_creation<=3.0,aoi_midpoint_range_position_mid<=0.43,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_midpoint_range_position_mid<=0.43],930,132.9,0.472,0.4243,11,1.812
aoi_touch_count_since_creation<=3.0,break_close_location<=0.67,bear[aoi_touch_count_since_creation<=3.0]  +  bull[break_close_location<=0.67],926,132.4,0.4719,0.4186,11,1.796
break_impulse_body_atr<=0.34,session_directional_bias>=0.2,bear[break_impulse_body_atr<=0.34]  +  bull[session_directional_bias>=0.2],690,98.6,0.4681,0.4116,7,1.778
max_retest_penetration_atr<=0.46,session_directional_bias>=0.2,bear[max_retest_penetration_atr<=0.46]  +  bull[session_directional_bias>=0.2],688,98.4,0.4666,0.4119,9,1.781
signal_candle_opposite_extreme_atr<=0.53,session_directional_bias>=0.2,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[session_directional_bias>=0.2],687,98.2,0.4658,0.4047,7,1.762
break_impulse_range_atr<=0.72,session_directional_bias>=0.2,bear[break_impulse_range_atr<=0.72]  +  bull[session_directional_bias>=0.2],687,98.2,0.4643,0.4037,8,1.76
aoi_touch_count_since_creation<=3.0,break_impulse_range_atr<=1.14,bear[aoi_touch_count_since_creation<=3.0]  +  bull[break_impulse_range_atr<=1.14],1339,191.4,0.463,0.3908,16,1.73
htf_range_size_mid_atr>=25.16,session_directional_bias>=0.2,bear[htf_range_size_mid_atr>=25.16]  +  bull[session_directional_bias>=0.2],692,98.9,0.4624,0.3957,12,1.742
break_impulse_body_atr<=0.34,signal_candle_opposite_extreme_atr<=0.58,bear[break_impulse_body_atr<=0.34]  +  bull[signal_candle_opposite_extreme_atr<=0.58],783,111.9,0.461,0.3831,8,1.711
break_impulse_body_atr<=0.34,aoi_height_atr<=1.12,bear[break_impulse_body_atr<=0.34]  +  bull[aoi_height_atr<=1.12],790,112.9,0.4608,0.4054,11,1.773
break_impulse_body_atr<=0.34,break_impulse_body_atr<=0.37,bear[break_impulse_body_atr<=0.34]  +  bull[break_impulse_body_atr<=0.37],780,111.5,0.4603,0.3808,10,1.705
aoi_touch_count_since_creation<=3.0,signal_candle_opposite_extreme_atr<=0.87,bear[aoi_touch_count_since_creation<=3.0]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1345,192.3,0.4602,0.3826,14,1.711
aoi_touch_count_since_creation<=3.0,break_impulse_body_atr<=0.64,bear[aoi_touch_count_since_creation<=3.0]  +  bull[break_impulse_body_atr<=0.64],1335,190.8,0.4599,0.3838,13,1.715
max_retest_penetration_atr<=0.46,signal_candle_opposite_extreme_atr<=0.58,bear[max_retest_penetration_atr<=0.46]  +  bull[signal_candle_opposite_extreme_atr<=0.58],781,111.6,0.4597,0.3833,11,1.713
max_retest_penetration_atr<=0.46,aoi_height_atr<=1.12,bear[max_retest_penetration_atr<=0.46]  +  bull[aoi_height_atr<=1.12],788,112.6,0.4594,0.4057,12,1.775
signal_candle_opposite_extreme_atr<=0.53,signal_candle_opposite_extreme_atr<=0.58,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[signal_candle_opposite_extreme_atr<=0.58],780,111.5,0.459,0.3769,10,1.697
break_impulse_body_atr<=0.34,aoi_near_edge_atr<=0.14,bear[break_impulse_body_atr<=0.34]  +  bull[aoi_near_edge_atr<=0.14],778,111.2,0.4589,0.3794,9,1.703
break_impulse_body_atr<=0.34,aoi_last_reaction_strength>=0.84,bear[break_impulse_body_atr<=0.34]  +  bull[aoi_last_reaction_strength>=0.84],706,100.9,0.4589,0.3873,9,1.722
max_retest_penetration_atr<=0.46,break_impulse_body_atr<=0.37,bear[max_retest_penetration_atr<=0.46]  +  bull[break_impulse_body_atr<=0.37],778,111.2,0.4589,0.381,11,1.707
signal_candle_opposite_extreme_atr<=0.53,aoi_height_atr<=1.12,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[aoi_height_atr<=1.12],787,112.5,0.4587,0.3994,10,1.759
signal_candle_opposite_extreme_atr<=0.53,break_impulse_body_atr<=0.37,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[break_impulse_body_atr<=0.37],777,111.1,0.4582,0.3745,11,1.691
break_impulse_range_atr<=0.72,signal_candle_opposite_extreme_atr<=0.58,bear[break_impulse_range_atr<=0.72]  +  bull[signal_candle_opposite_extreme_atr<=0.58],780,111.5,0.4577,0.376,11,1.695
max_retest_penetration_atr<=0.46,aoi_near_edge_atr<=0.14,bear[max_retest_penetration_atr<=0.46]  +  bull[aoi_near_edge_atr<=0.14],776,110.9,0.4575,0.3796,9,1.705
max_retest_penetration_atr<=0.46,aoi_last_reaction_strength>=0.84,bear[max_retest_penetration_atr<=0.46]  +  bull[aoi_last_reaction_strength>=0.84],704,100.6,0.4574,0.3876,13,1.724
break_impulse_range_atr<=0.72,aoi_height_atr<=1.12,bear[break_impulse_range_atr<=0.72]  +  bull[aoi_height_atr<=1.12],787,112.5,0.4574,0.3985,11,1.757
aoi_touch_count_since_creation<=4.0,session_directional_bias>=0.2,bear[aoi_touch_count_since_creation<=4.0]  +  bull[session_directional_bias>=0.2],1089,155.7,0.4573,0.38,12,1.706
break_impulse_body_atr<=0.34,distance_from_last_impulse_atr<=0.38,bear[break_impulse_body_atr<=0.34]  +  bull[distance_from_last_impulse_atr<=0.38],785,112.2,0.4573,0.372,13,1.685
break_impulse_body_atr<=0.34,aoi_far_edge_atr<=1.43,bear[break_impulse_body_atr<=0.34]  +  bull[aoi_far_edge_atr<=1.43],788,112.6,0.4569,0.3791,10,1.705
break_impulse_range_atr<=0.72,break_impulse_body_atr<=0.37,bear[break_impulse_range_atr<=0.72]  +  bull[break_impulse_body_atr<=0.37],777,111.1,0.4569,0.3736,9,1.69
signal_candle_opposite_extreme_atr<=0.53,aoi_near_edge_atr<=0.14,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[aoi_near_edge_atr<=0.14],775,110.8,0.4568,0.3732,10,1.689
