bear_gate,bull_gate,universal_gate,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,recent_trend_payoff_atr_24h<=2.04,573,81.9,0.5079,0.5292,14,2.083
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,distance_to_next_htf_obstacle_atr>=0.21,595,85.1,0.5059,0.5195,8,2.055
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,break_close_location<=0.92,640,91.5,0.5016,0.5125,9,2.035
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,aoi_touch_count_since_creation<=3.0,618,88.3,0.4984,0.5016,10,2.006
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,bars_between_retest_and_break<=2.0,608,86.9,0.4984,0.5016,8,2.007
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,aoi_midpoint_range_position_mid<=0.7,615,87.9,0.4976,0.4945,12,1.987
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,retest_candle_body_penetration<=0.64,622,88.9,0.4936,0.4842,10,1.959
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,aoi_touch_count_since_creation<=6.0,760,108.6,0.4934,0.4883,12,1.972
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,signal_candle_opposite_extreme_atr<=1.17,646,92.3,0.4923,0.4801,10,1.948
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,aoi_touch_count_since_creation<=4.0,661,94.5,0.4917,0.4811,11,1.952
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,recent_trend_payoff_atr_48h<=2.84,598,85.5,0.4916,0.4852,10,1.964
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,trend_age_impulses<=6.0,654,93.5,0.4908,0.4819,13,1.955
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,break_impulse_body_atr<=0.94,648,92.6,0.4907,0.4755,9,1.937
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,retest_candle_body_penetration>=0.26,611,87.3,0.4894,0.4746,10,1.935
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,aoi_near_edge_atr<=0.59,632,90.3,0.4889,0.4702,11,1.923
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,htf_range_size_high_atr<=47.87,613,87.6,0.4878,0.4733,7,1.933
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,aoi_midpoint_range_position_high<=0.73,656,93.8,0.4878,0.4684,11,1.92
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,session_directional_bias_not_null,790,112.9,0.4873,0.4698,9,1.923
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,aoi_far_edge_atr<=2.03,635,90.8,0.4866,0.4644,10,1.907
