gate,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
break_impulse_body_atr<=0.53,776,110.9,0.4652,0.3956,17,1.74
signal_candle_body_atr<=0.53,776,110.9,0.4652,0.3956,17,1.74
session_directional_bias>=-0.75,666,95.2,0.4565,0.3765,10,1.699
max_retest_penetration_atr<=0.73,777,111.1,0.4543,0.3659,12,1.672
signal_candle_opposite_extreme_atr<=0.73,773,110.5,0.4528,0.3613,12,1.662
break_impulse_range_atr<=0.97,774,110.6,0.4522,0.3595,14,1.658
signal_candle_range_atr<=0.97,774,110.6,0.4522,0.3595,14,1.658
break_impulse_range_atr<=1.3,1157,165.4,0.4512,0.3555,16,1.649
signal_candle_range_atr<=1.3,1157,165.4,0.4512,0.3555,16,1.649
signal_candle_opposite_extreme_atr<=1.04,1159,165.7,0.4504,0.3531,17,1.644
aoi_height_atr>=1.3,764,109.2,0.4503,0.3556,10,1.65
geo_aoi_height_atr>=1.3,764,109.2,0.4503,0.3556,10,1.65
aoi_touch_count_since_creation<=4.0,811,115.9,0.4501,0.3557,12,1.651
aoi_near_edge_atr<=0.24,761,108.8,0.4481,0.3472,15,1.631
break_impulse_body_atr<=0.8,1156,165.3,0.4472,0.3456,17,1.627
signal_candle_body_atr<=0.8,1156,165.3,0.4472,0.3456,17,1.627
aoi_midpoint_range_position_mid<=0.49,778,111.2,0.4447,0.3385,13,1.612
trend_age_impulses<=4.0,799,114.2,0.4431,0.3383,13,1.615
aoi_touch_count_since_creation<=6.0,1237,176.8,0.4422,0.3351,16,1.606
recent_trend_payoff_atr_24h>=-3.2,776,110.9,0.442,0.3337,10,1.604
max_retest_penetration_atr<=1.11,1158,165.5,0.4404,0.3245,19,1.582
bars_between_retest_and_break<=1.0,1059,151.4,0.44,0.3294,17,1.594
aoi_near_edge_atr<=0.46,1152,164.7,0.4392,0.3216,17,1.575
htf_range_size_mid_atr>=20.33,772,110.4,0.4391,0.3208,16,1.573
aoi_far_edge_atr<=1.86,1158,165.5,0.4387,0.3223,19,1.578
break_close_location<=0.91,1166,166.7,0.4383,0.3178,12,1.568
bars_between_retest_and_break<=2.0,1215,173.7,0.4379,0.3228,19,1.58
aoi_far_edge_atr<=1.61,783,111.9,0.4368,0.318,13,1.569
htf_range_size_mid_atr>=16.32,1159,165.7,0.4366,0.3171,15,1.567
htf_range_size_high_atr<=36.49,772,110.4,0.4365,0.3227,13,1.581
break_close_location<=0.81,786,112.4,0.4364,0.3092,13,1.549
aoi_midpoint_range_position_mid<=0.64,1151,164.5,0.4361,0.3148,19,1.562
session_directional_bias_not_null,1335,190.8,0.4345,0.3109,17,1.554
session_directional_bias>=-1.68,1000,143.0,0.434,0.3093,14,1.552
retest_candle_body_penetration<=0.7,1153,164.8,0.4337,0.307,14,1.545
recent_trend_payoff_atr_48h<=-2.93,773,110.5,0.4334,0.3117,11,1.557
recent_trend_payoff_atr_24h>=-4.47,1159,165.7,0.4331,0.3045,15,1.541
distance_from_last_impulse_atr>=2.25,772,110.4,0.4326,0.3027,15,1.536
trend_age_impulses<=5.0,1186,169.5,0.4325,0.308,18,1.549
distance_to_next_htf_obstacle_atr>=0.95,773,110.5,0.4321,0.3055,11,1.543
retest_candle_body_penetration<=0.45,769,109.9,0.4317,0.3028,17,1.537
aoi_time_since_last_touch<=0.0,739,105.6,0.4317,0.3044,12,1.541
bars_between_retest_and_break>=1.0,821,117.4,0.4312,0.3043,15,1.541
distance_from_last_impulse_atr>=0.88,1158,165.5,0.4309,0.3012,15,1.534
aoi_midpoint_range_position_high<=0.51,772,110.4,0.4301,0.2963,16,1.523
no_gate,1545,220.9,0.4298,0.2973,18,1.526
trend_alignment_strength>=2.0,1545,220.9,0.4298,0.2973,18,1.526
trend_alignment_strength>=2.0,1545,220.9,0.4298,0.2973,18,1.526
trend_alignment_strength>=2.0,1545,220.9,0.4298,0.2973,18,1.526
bars_between_retest_and_break>=0.0,1545,220.9,0.4298,0.2973,18,1.526
trend_age_bars_1h>=0.0,1545,220.9,0.4298,0.2973,18,1.526
trend_age_bars_1h>=0.0,1545,220.9,0.4298,0.2973,18,1.526
trend_age_bars_1h>=0.0,1545,220.9,0.4298,0.2973,18,1.526
aoi_time_since_last_touch>=0.0,1538,219.9,0.4298,0.2973,18,1.526
aoi_classification_not_null,1545,220.9,0.4298,0.2973,18,1.526
trend_align>=1,1545,220.9,0.4298,0.2973,18,1.526
trend_align>=2,1545,220.9,0.4298,0.2973,18,1.526
htf_range_size_high_atr<=46.98,1159,165.7,0.4297,0.2997,14,1.531
aoi_midpoint_range_position_high<=0.72,1152,164.7,0.4297,0.2932,14,1.516
aoi_midpoint_range_position_high>=0.51,773,110.5,0.4295,0.2983,17,1.528
bars_between_retest_and_break<=0.0,724,103.5,0.4282,0.2893,9,1.508
aoi_time_since_last_touch>=1.0,799,114.2,0.428,0.2908,11,1.512
aoi_far_edge_atr>=1.37,1159,165.7,0.428,0.2926,12,1.516
retest_candle_body_penetration>=0.45,776,110.9,0.4278,0.2918,12,1.515
aoi_midpoint_range_position_mid>=0.33,1171,167.4,0.4278,0.2912,12,1.513
distance_to_next_htf_obstacle_atr<=0.95,772,110.4,0.4275,0.2891,10,1.509
aoi_height_atr<=1.46,1163,166.3,0.4273,0.2914,13,1.514
geo_aoi_height_atr<=1.46,1163,166.3,0.4273,0.2914,13,1.514
recent_trend_payoff_atr_48h<=-0.95,1159,165.7,0.4271,0.2919,14,1.515
distance_from_last_impulse_atr<=2.25,773,110.5,0.4269,0.2919,10,1.515
trend_age_impulses>=4.0,1151,164.5,0.4266,0.2862,15,1.502
aoi_time_since_last_touch<=1.0,870,124.4,0.4264,0.2886,12,1.508
recent_trend_payoff_atr_48h>=-2.93,772,110.4,0.4262,0.2829,9,1.495
aoi_time_since_last_touch<=23.0,1159,165.7,0.4262,0.289,15,1.509
distance_to_next_htf_obstacle_atr>=0.43,1158,165.5,0.4257,0.2857,14,1.502
recent_trend_payoff_atr_48h>=-5.11,1158,165.5,0.4257,0.2815,14,1.493
distance_from_last_impulse_atr<=3.69,1159,165.7,0.4254,0.2848,14,1.5
distance_to_next_htf_obstacle_atr<=1.74,1161,166.0,0.4246,0.2803,16,1.491
trend_age_impulses>=3.0,1410,201.6,0.4234,0.2774,16,1.485
trend_alignment_strength<=2.0,1316,188.1,0.4233,0.2791,17,1.489
trend_alignment_strength<=2.0,1316,188.1,0.4233,0.2791,17,1.489
trend_alignment_strength<=2.0,1316,188.1,0.4233,0.2791,17,1.489
trend_age_bars_1h<=0.0,1316,188.1,0.4233,0.2791,17,1.489
trend_age_bars_1h<=0.0,1316,188.1,0.4233,0.2791,17,1.489
trend_age_bars_1h<=0.0,1316,188.1,0.4233,0.2791,17,1.489
conflicted_tf_not_null,1316,188.1,0.4233,0.2791,17,1.489
htf_range_size_high_atr>=36.49,773,110.5,0.423,0.2719,14,1.472
break_close_location>=0.81,759,108.5,0.4229,0.285,11,1.502
aoi_near_edge_atr>=0.11,1140,163.0,0.4228,0.2773,17,1.485
aoi_far_edge_atr>=1.61,762,108.9,0.4226,0.276,13,1.483
session_directional_bias<=-0.15,1002,143.2,0.4222,0.2743,13,1.478
htf_range_size_high_atr>=29.41,1159,165.7,0.4211,0.2702,16,1.47
aoi_last_reaction_strength>=0.59,592,84.6,0.4206,0.267,9,1.463
htf_range_size_mid_atr<=20.33,773,110.5,0.4204,0.2738,13,1.479
htf_range_size_mid_atr<=25.02,1159,165.7,0.4193,0.2686,14,1.468
aoi_touch_count_since_creation>=3.0,1226,175.3,0.4192,0.2669,14,1.464
aoi_touch_count_since_creation>=4.0,990,141.5,0.4192,0.2667,17,1.464
aoi_height_atr>=1.13,1154,165.0,0.4177,0.2594,13,1.448
geo_aoi_height_atr>=1.13,1154,165.0,0.4177,0.2594,13,1.448
recent_trend_payoff_atr_24h<=-3.2,769,109.9,0.4174,0.2605,14,1.451
aoi_midpoint_range_position_high>=0.31,1161,166.0,0.4169,0.2572,12,1.444
recent_trend_payoff_atr_24h<=-2.08,1159,165.7,0.4167,0.2587,16,1.447
max_retest_penetration_atr>=0.45,1158,165.5,0.4162,0.2574,12,1.445
trend_age_impulses>=5.0,746,106.6,0.4155,0.2533,10,1.435
break_close_location>=0.66,1163,166.3,0.4153,0.2565,14,1.444
aoi_midpoint_range_position_mid>=0.49,767,109.6,0.4146,0.2555,17,1.442
retest_candle_body_penetration>=0.29,1161,166.0,0.4143,0.2515,14,1.434
break_impulse_range_atr>=0.72,1163,166.3,0.4136,0.2494,12,1.429
signal_candle_range_atr>=0.72,1163,166.3,0.4136,0.2494,12,1.429
break_impulse_body_atr>=0.31,1165,166.5,0.4129,0.2492,13,1.429
signal_candle_body_atr>=0.31,1165,166.5,0.4129,0.2492,13,1.429
session_directional_bias<=-0.75,669,95.6,0.4126,0.2455,12,1.421
aoi_last_reaction_strength<=4.89,589,84.2,0.4126,0.2449,10,1.42
aoi_near_edge_atr>=0.24,784,112.1,0.412,0.2489,13,1.429
aoi_height_atr<=1.3,781,111.6,0.4097,0.2403,12,1.412
geo_aoi_height_atr<=1.3,781,111.6,0.4097,0.2403,12,1.412
break_impulse_range_atr>=0.97,771,110.2,0.4073,0.2348,12,1.402
signal_candle_range_atr>=0.97,771,110.2,0.4073,0.2348,12,1.402
signal_candle_opposite_extreme_atr>=0.73,772,110.4,0.4067,0.2332,10,1.399
max_retest_penetration_atr>=0.73,768,109.8,0.4049,0.2279,9,1.388
signal_candle_opposite_extreme_atr>=0.52,1159,165.7,0.4021,0.2168,11,1.367
break_impulse_body_atr>=0.53,769,109.9,0.394,0.1981,17,1.332
signal_candle_body_atr>=0.53,769,109.9,0.394,0.1981,17,1.332
