gate,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
aoi_touch_count_since_creation<=3.0  &  aoi_midpoint_range_position_mid<=0.5,561,80.2,0.4955,0.4984,10,2.002
aoi_touch_count_since_creation<=3.0  &  break_impulse_range_atr<=1.06,561,80.2,0.4831,0.4492,12,1.869
signal_candle_opposite_extreme_atr<=0.56  &  aoi_touch_count_since_creation<=6.0,639,91.3,0.4789,0.4366,9,1.838
break_impulse_body_atr<=0.36  &  aoi_touch_count_since_creation<=6.0,650,92.9,0.4785,0.4354,9,1.835
break_impulse_body_atr<=0.36  &  signal_candle_opposite_extreme_atr<=0.56,574,82.1,0.4756,0.4268,8,1.814
aoi_touch_count_since_creation<=3.0  &  break_impulse_body_atr<=0.61,570,81.5,0.4737,0.4211,9,1.8
break_impulse_body_atr<=0.36  &  break_impulse_range_atr<=1.06,685,97.9,0.4715,0.4146,9,1.785
signal_candle_opposite_extreme_atr<=0.56  &  break_impulse_range_atr<=1.06,740,105.8,0.4703,0.4108,9,1.776
signal_candle_opposite_extreme_atr<=0.56  &  break_impulse_range_atr<=0.77,577,82.5,0.4662,0.3986,8,1.747
aoi_touch_count_since_creation<=4.0  &  aoi_midpoint_range_position_mid<=0.5,833,119.1,0.4658,0.4077,9,1.773
break_impulse_body_atr<=0.36  &  aoi_near_edge_atr<=0.3,767,109.6,0.4641,0.3924,9,1.732
break_impulse_body_atr<=0.36  &  break_impulse_body_atr<=0.61,802,114.6,0.4638,0.3915,9,1.73
max_retest_penetration_atr<=0.47  &  aoi_touch_count_since_creation<=6.0,635,90.8,0.463,0.3997,8,1.753
distance_from_last_impulse_atr<=0.39  &  aoi_touch_count_since_creation<=6.0,623,89.1,0.4623,0.3868,8,1.719
aoi_midpoint_range_position_high<=0.31  &  aoi_midpoint_range_position_mid<=0.5,639,91.3,0.4617,0.401,12,1.76
signal_candle_opposite_extreme_atr<=0.56  &  aoi_near_edge_atr<=0.3,696,99.5,0.4612,0.3836,9,1.712
session_directional_bias>=-0.38  &  aoi_midpoint_range_position_mid<=0.5,644,92.1,0.4612,0.3966,7,1.749
aoi_touch_count_since_creation<=4.0  &  break_impulse_range_atr<=1.06,816,116.7,0.4608,0.3848,12,1.717
break_impulse_body_atr<=0.36  &  signal_candle_opposite_extreme_atr<=0.83,738,105.5,0.4607,0.3821,10,1.709
aoi_touch_count_since_creation<=4.0  &  break_impulse_body_atr<=0.61,832,118.9,0.4603,0.3824,9,1.71
signal_candle_opposite_extreme_atr<=0.56  &  break_impulse_body_atr<=0.61,796,113.8,0.4585,0.3756,10,1.694
signal_candle_opposite_extreme_atr<=0.56  &  signal_candle_opposite_extreme_atr<=0.83,796,113.8,0.4585,0.3756,10,1.694
aoi_touch_count_since_creation<=4.0  &  aoi_near_edge_atr<=0.3,817,116.8,0.4578,0.376,12,1.695
aoi_touch_count_since_creation<=4.0  &  session_directional_bias>=-0.38,662,94.6,0.4577,0.3854,7,1.72
aoi_touch_count_since_creation<=3.0  &  aoi_touch_count_since_creation<=4.0,1132,161.8,0.4576,0.382,13,1.711
aoi_touch_count_since_creation<=3.0  &  aoi_touch_count_since_creation<=6.0,1132,161.8,0.4576,0.382,13,1.711
