sl_model,mode,n_groups,groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_ATR_1_0,threshold,1,jpy_pairs,htf_range_size_mid_atr>=15,788,112.6,0.3947,0.184,11,1.304
SL_ATR_1_0,threshold,1,jpy_pairs,break_close_location>=0.65,740,105.8,0.3946,0.1874,11,1.311
SL_ATR_1_0,threshold,1,jpy_pairs,bars_between_retest_and_break<=2,713,101.9,0.3927,0.1819,12,1.301
SL_ATR_1_0,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.5,863,123.4,0.3905,0.1715,10,1.281
SL_ATR_1_0,threshold,1,jpy_pairs,break_close_location>=0.5,871,124.5,0.3904,0.1742,12,1.287
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,distance_to_next_htf_obstacle_atr>=0.5,802,114.6,0.3903,0.1898,12,1.317
SL_ATR_1_0,threshold,1,jpy_pairs,htf_range_size_mid_atr>=10,929,132.8,0.3886,0.1667,11,1.273
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.5,716,102.4,0.3869,0.1795,13,1.298
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,distance_to_next_htf_obstacle_atr>=0.5 & bars_between_retest_and_break<=3,716,102.4,0.3869,0.1795,13,1.298
SL_ATR_1_0,threshold,1,jpy_pairs,no_gate,945,135.1,0.3862,0.1616,11,1.264
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,bars_between_retest_and_break<=3,800,114.4,0.3862,0.1606,12,1.262
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,aoi_far_edge_atr>=1.5 & bars_between_retest_and_break<=3,808,115.5,0.3861,0.1618,16,1.265
SL_ATR_1_0,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.25,938,134.1,0.3859,0.1607,12,1.262
