seed,sl_model,rr_multiple,symbol,window_name,hours_kept,n_hours,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor
ATR1,SL_ATR_1_0,2.0,AUDCAD,best_4h,"[1, 4, 8, 17]",4,108,15.4,0.4444,0.5556,0.0,0.3333,8,1.6
ATR1,SL_ATR_1_0,2.0,AUDCAD,best_5h,"[1, 3, 4, 8, 17]",5,131,18.7,0.4351,0.5649,0.0,0.3053,10,1.541
ATR1,SL_ATR_1_0,2.0,AUDCAD,best_6h,"[1, 2, 3, 4, 8, 17]",6,172,24.6,0.4244,0.5756,0.0,0.2733,10,1.475
ATR1,SL_ATR_1_0,2.0,AUDCAD,best_7h,"[1, 2, 3, 4, 6, 8, 17]",7,203,29.0,0.4187,0.5813,0.0,0.2562,13,1.441
ATR1,SL_ATR_1_0,2.0,AUDCAD,best_8h,"[1, 2, 3, 4, 6, 8, 15, 17]",8,234,33.5,0.4145,0.5855,0.0,0.2436,7,1.416
ATR1,SL_ATR_1_0,2.0,AUDCAD,excl_16worst,"[1, 2, 3, 4, 6, 8, 15, 17]",8,234,33.5,0.4145,0.5855,0.0,0.2436,7,1.416
ATR1,SL_ATR_1_0,2.0,AUDCAD,best_9h,"[1, 2, 3, 4, 6, 8, 15, 16, 17]",9,255,36.5,0.4118,0.5882,0.0,0.2353,8,1.4
ATR1,SL_ATR_1_0,2.0,AUDCAD,excl_15worst,"[1, 2, 3, 4, 6, 8, 15, 16, 17]",9,255,36.5,0.4118,0.5882,0.0,0.2353,8,1.4
ATR1,SL_ATR_1_0,2.0,AUDCAD,h01+4h,"[1, 2, 3, 4]",4,116,16.6,0.4052,0.5948,0.0,0.2155,17,1.362
ATR1,SL_ATR_1_0,2.0,AUDCAD,best_10h,"[1, 2, 3, 4, 6, 8, 14, 15, 16, 17]",10,294,42.0,0.4048,0.5952,0.0,0.2143,8,1.36
ATR1,SL_ATR_1_0,2.0,AUDCHF,best_6h,"[0, 4, 11, 12, 15, 19]",6,117,16.7,0.4103,0.5897,0.0,0.2308,8,1.391
ATR1,SL_ATR_1_0,2.0,AUDCHF,best_7h,"[0, 4, 8, 11, 12, 15, 19]",7,132,18.9,0.4015,0.5985,0.0,0.2045,8,1.342
ATR1,SL_ATR_1_0,2.0,AUDCHF,best_8h,"[0, 4, 8, 11, 12, 15, 19, 22]",8,175,25.0,0.3771,0.6229,0.0,0.1314,8,1.211
ATR1,SL_ATR_1_0,2.0,AUDCHF,excl_16worst,"[0, 4, 8, 11, 12, 15, 19, 22]",8,175,25.0,0.3771,0.6229,0.0,0.1314,8,1.211
