depth,gates,delta_win,retain_pct,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor
3,bars_between_retest_and_break<=2.000(p75) & distance_to_next_htf_obstacle_atr>=0.235(p25) & break_close_location>=0.496(p10),0.0357,50.5,944,134.9,0.4428,0.5561,0.0011,0.3293,11,1.592
3,bars_between_retest_and_break<=2.000(p75) & distance_to_next_htf_obstacle_atr>=0.235(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0347,52.5,980,140.1,0.4418,0.5571,0.001,0.3264,9,1.586
3,bars_between_retest_and_break<=2.000(p75) & recent_trend_payoff_atr_48h<=2.606(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0337,53.0,989,141.4,0.4408,0.5581,0.001,0.3234,10,1.579
3,bars_between_retest_and_break<=2.000(p75) & break_close_location>=0.496(p10) & recent_trend_payoff_atr_48h<=2.606(p75),0.0331,51.5,961,137.4,0.4402,0.5588,0.001,0.3214,10,1.575
3,bars_between_retest_and_break<=2.000(p75) & aoi_far_edge_atr>=1.414(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0306,52.0,971,138.8,0.4377,0.5623,0.0,0.3131,10,1.557
3,max_retest_penetration_atr<=1.141(p75) & distance_to_next_htf_obstacle_atr>=0.235(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0305,50.2,937,133.9,0.4376,0.5614,0.0011,0.3136,8,1.559
3,bars_between_retest_and_break<=2.000(p75) & break_close_location>=0.496(p10) & aoi_far_edge_atr>=1.414(p25),0.0291,50.8,949,135.7,0.4362,0.5638,0.0,0.3087,10,1.548
3,bars_between_retest_and_break<=2.000(p75) & break_close_location>=0.496(p10) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0284,64.3,1201,171.7,0.4355,0.5637,0.0008,0.3071,10,1.545
2,bars_between_retest_and_break<=2.000(p75) & distance_to_next_htf_obstacle_atr>=0.235(p25),0.028,57.4,1071,153.1,0.4351,0.564,0.0009,0.3061,11,1.543
3,bars_between_retest_and_break<=2.000(p75) & break_close_location>=0.636(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0273,54.7,1022,146.1,0.4344,0.5646,0.001,0.3042,9,1.539
3,max_retest_penetration_atr<=1.141(p75) & break_close_location>=0.636(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0265,53.2,994,142.1,0.4336,0.5654,0.001,0.3017,11,1.533
