cell,sl,n,tpy,win,exp,pf
comm|bull,SL_ATR_0_5,2003,286.1,31.3,-0.0609,0.911
comm|bull,SL_SIGNAL_CANDLE,2003,286.1,29.86,-0.0951,0.863
comm|bull,SL_SIGNAL_CANDLE_PLUS_0_25,2003,286.1,29.81,-0.0921,0.867
comm|bull,SL_ATR_1_0,2003,286.1,29.76,-0.1073,0.847
comm|bull,SL_AOI_NEAR_PLUS_0_5,2003,286.1,29.51,-0.1083,0.845
comm|bull,SL_AOI_NEAR_PLUS_0_25,2003,286.1,29.46,-0.1123,0.84
comm|bull,SL_ATR_1_5,2003,286.1,29.31,-0.1154,0.836
comm|bull,SL_ATR_2_0,2003,286.1,28.36,-0.0847,0.875
comm|bull,SL_AOI_FAR,2003,286.1,28.11,-0.0977,0.857
comm|bull,SL_AOI_FAR_PLUS_0_25,2003,286.1,26.61,-0.1021,0.849
comm|bull,SL_AOI_NEAR,2003,286.1,24.26,-0.2693,0.644
comm|bear,SL_AOI_NEAR_PLUS_0_5,1753,250.4,34.8,0.0505,1.078
comm|bear,SL_SIGNAL_CANDLE_PLUS_0_25,1753,250.4,34.57,0.0522,1.081
comm|bear,SL_ATR_1_0,1753,250.4,34.06,0.0217,1.033
comm|bear,SL_SIGNAL_CANDLE,1753,250.4,34.06,0.0295,1.045
comm|bear,SL_AOI_NEAR_PLUS_0_25,1753,250.4,33.37,0.0041,1.006
comm|bear,SL_ATR_0_5,1753,250.4,33.37,0.0011,1.002
comm|bear,SL_ATR_1_5,1753,250.4,32.74,-0.0111,0.983
comm|bear,SL_ATR_2_0,1753,250.4,30.98,-0.0136,0.979
comm|bear,SL_AOI_FAR,1753,250.4,30.41,-0.0434,0.935
comm|bear,SL_AOI_FAR_PLUS_0_25,1753,250.4,30.18,-0.012,0.981
comm|bear,SL_AOI_NEAR,1753,250.4,25.61,-0.2292,0.691
eur|bull,SL_ATR_1_5,3101,443.0,31.57,-0.039,0.942
eur|bull,SL_AOI_FAR,3101,443.0,30.8,-0.0308,0.954
eur|bull,SL_ATR_1_0,3101,443.0,30.7,-0.079,0.886
eur|bull,SL_AOI_NEAR_PLUS_0_5,3101,443.0,30.25,-0.0831,0.88
eur|bull,SL_ATR_2_0,3101,443.0,29.99,-0.039,0.941
eur|bull,SL_SIGNAL_CANDLE_PLUS_0_25,3101,443.0,29.67,-0.0913,0.868
eur|bull,SL_AOI_NEAR_PLUS_0_25,3101,443.0,29.35,-0.114,0.838
eur|bull,SL_AOI_FAR_PLUS_0_25,3101,443.0,29.28,-0.0397,0.94
eur|bull,SL_SIGNAL_CANDLE,3101,443.0,29.25,-0.1108,0.842
eur|bull,SL_ATR_0_5,3101,443.0,28.64,-0.1409,0.803
eur|bull,SL_AOI_NEAR,3101,443.0,23.22,-0.2986,0.61
eur|bear,SL_AOI_NEAR_PLUS_0_5,1888,269.7,32.63,-0.0106,0.984
eur|bear,SL_ATR_1_0,1888,269.7,32.31,-0.03,0.956
eur|bear,SL_AOI_NEAR_PLUS_0_25,1888,269.7,32.26,-0.029,0.957
eur|bear,SL_SIGNAL_CANDLE_PLUS_0_25,1888,269.7,32.04,-0.0116,0.983
