cell,rr,sl,n,tpy,win,exp,pf
comm|bull,1.2,SL_SIGNAL_CANDLE_PLUS_0_25,164,23.4,43.9,-0.0341,0.939
comm|bull,1.2,SL_ATR_2_0,164,23.4,42.68,-0.061,0.894
comm|bull,1.2,SL_AOI_NEAR_PLUS_0_25,164,23.4,42.07,-0.0703,0.878
comm|bull,1.2,SL_AOI_NEAR_PLUS_0_5,164,23.4,42.07,-0.0701,0.878
comm|bull,1.2,SL_AOI_FAR_PLUS_0_25,164,23.4,40.85,-0.0722,0.873
comm|bull,1.2,SL_AOI_FAR,164,23.4,40.24,-0.0942,0.839
comm|bull,1.2,SL_AOI_NEAR,164,23.4,40.24,-0.1146,0.808
comm|bull,1.2,SL_ATR_0_5,164,23.4,39.02,-0.1415,0.768
comm|bull,1.2,SL_ATR_1_0,164,23.4,38.41,-0.1549,0.749
comm|bull,1.2,SL_ATR_1_5,164,23.4,38.41,-0.1549,0.749
comm|bull,1.2,SL_SIGNAL_CANDLE,159,22.7,37.74,-0.1698,0.727
comm|bull,1.5,SL_AOI_NEAR_PLUS_0_25,164,23.4,39.63,-0.0051,0.992
comm|bull,1.5,SL_SIGNAL_CANDLE_PLUS_0_25,164,23.4,39.63,-0.0091,0.985
comm|bull,1.5,SL_ATR_2_0,164,23.4,38.41,-0.0396,0.936
comm|bull,1.5,SL_AOI_FAR_PLUS_0_25,164,23.4,36.59,-0.0496,0.918
comm|bull,1.5,SL_AOI_NEAR_PLUS_0_5,164,23.4,36.59,-0.0784,0.875
comm|bull,1.5,SL_SIGNAL_CANDLE,159,22.7,36.48,-0.0881,0.861
comm|bull,1.5,SL_AOI_NEAR,164,23.4,35.98,-0.0967,0.848
comm|bull,1.5,SL_ATR_0_5,164,23.4,35.98,-0.1006,0.843
comm|bull,1.5,SL_AOI_FAR,164,23.4,35.37,-0.0886,0.859
comm|bull,1.5,SL_ATR_1_5,164,23.4,35.37,-0.1159,0.821
comm|bull,1.5,SL_ATR_1_0,164,23.4,32.93,-0.1768,0.736
comm|bull,2.0,SL_SIGNAL_CANDLE_PLUS_0_25,164,23.4,34.76,0.0427,1.065
comm|bull,2.0,SL_SIGNAL_CANDLE,159,22.7,33.96,0.0189,1.029
comm|bull,2.0,SL_AOI_NEAR_PLUS_0_5,164,23.4,32.93,0.0016,1.002
comm|bull,2.0,SL_AOI_NEAR_PLUS_0_25,164,23.4,32.32,-0.0172,0.974
comm|bull,2.0,SL_ATR_0_5,164,23.4,32.32,-0.0305,0.955
comm|bull,2.0,SL_AOI_NEAR,164,23.4,31.1,-0.0544,0.92
comm|bull,2.0,SL_ATR_2_0,164,23.4,30.49,-0.0661,0.904
comm|bull,2.0,SL_ATR_1_5,164,23.4,29.88,-0.1037,0.852
