combo,gates,layers,n,win_pct,exp_r,pf,prof_yrs
SL_ATR_2_0@2.0,tc<=2 + opp_ext<=0.3,2,233,35.62,0.1208,1.197,4
SL_ATR_2_0@2.0,tc<=2 + opp_ext<=0.3 + opp_ext<=0.7,3,233,35.62,0.1208,1.197,4
SL_ATR_2_0@2.0,tc<=2 + sbias>=0.0,2,1303,33.77,0.0749,1.12,5
SL_ATR_2_0@2.0,sbias>=0.0 + opp_ext<=0.3 + opp_ext<=0.7,3,401,33.92,0.0574,1.09,5
SL_ATR_2_0@2.0,sbias>=0.0 + opp_ext<=0.3,2,401,33.92,0.0574,1.09,5
SL_ATR_2_0@2.0,tc<=2 + sbias>=0.0 + opp_ext<=0.7,3,639,33.65,0.0566,1.089,4
SL_ATR_2_0@2.0,sbias>=0.0 + sbias>=0.2 + opp_ext<=0.3,3,340,33.82,0.0513,1.08,4
SL_ATR_2_0@2.0,sbias>=0.2 + opp_ext<=0.3,2,340,33.82,0.0513,1.08,4
SL_ATR_2_0@2.0,sbias>=0.2 + opp_ext<=0.3 + opp_ext<=0.7,3,340,33.82,0.0513,1.08,4
SL_ATR_2_0@2.0,tc<=2 + sbias>=0.2 + opp_ext<=0.7,3,516,33.14,0.0405,1.063,4
SL_ATR_2_0@2.0,tc<=2 + sbias>=0.0 + sbias>=0.2,3,1026,32.16,0.0289,1.045,5
SL_ATR_2_0@2.0,tc<=2 + sbias>=0.2,2,1026,32.16,0.0289,1.045,5
SL_ATR_2_0@4.0,opp_ext<=0.3,1,1040,10.96,0.0278,1.039,4
SL_ATR_2_0@4.0,opp_ext<=0.3 + opp_ext<=0.5,2,1040,10.96,0.0278,1.039,4
SL_ATR_2_0@2.0,opp_ext<=0.3,1,1040,32.31,0.0276,1.043,4
SL_ATR_2_0@2.0,opp_ext<=0.3 + opp_ext<=0.7,2,1040,32.31,0.0276,1.043,4
SL_ATR_2_0@3.5,opp_ext<=0.3 + opp_ext<=0.5,2,1040,14.81,0.0254,1.036,4
SL_ATR_2_0@3.5,opp_ext<=0.3,1,1040,14.81,0.0254,1.036,4
SL_ATR_2_0@3.0,opp_ext<=0.3 + opp_ext<=0.5,2,1040,19.81,0.0244,1.035,4
SL_ATR_2_0@3.0,opp_ext<=0.3,1,1040,19.81,0.0244,1.035,4
SL_ATR_2_0@4.0,opp_ext<=0.5,1,4230,10.99,0.0202,1.029,4
SL_ATR_2_0@3.5,opp_ext<=0.5,1,4230,14.63,0.0197,1.028,4
SL_ATR_2_0@3.0,opp_ext<=0.5,1,4230,19.34,0.0136,1.02,5
SL_ATR_2_0@2.0,sbias>=0.0,1,6412,31.72,0.0118,1.018,4
SL_ATR_2_0@2.5,opp_ext<=0.5,1,4230,24.75,0.0102,1.015,4
SL_ATR_2_0@2.0,sbias>=0.0 + sbias>=0.2,2,5008,31.39,0.0032,1.005,4
SL_ATR_2_0@2.0,sbias>=0.2,1,5008,31.39,0.0032,1.005,4
SL_ATR_2_0@2.0,tc<=2,1,4421,30.85,-0.0004,0.999,4
SL_ATR_2_0@2.0,opp_ext<=0.7,1,8687,30.94,-0.0091,0.986,4
