portfolio,cell,sl,dir,gates,depth,tpy,win,exp,cv
rank1,comm|bear,SL_SIGNAL_CANDLE,bearish,hp>=0.7+opp<=1.0,2,51.2,39.41,0.1824,6
rank1,eur|bear,SL_SIGNAL_CANDLE_PLUS_0_25,bearish,zone!=disc+pay48>=-0.5,2,89.2,35.51,0.0757,5
rank1,eur|bull,SL_AOI_FAR,bullish,tc<=2+bars_rb<=2,2,66.7,37.5,0.1665,6
rank1,jpy|bear,SL_ATR_0_5,bearish,imp>=1.0+bcl>=0.7,2,175.7,36.81,0.1044,6
rank1,jpy|bull,SL_AOI_FAR_PLUS_0_25,bullish,hph<=0.5,1,170.3,38.36,0.2397,6
rank1,usd|bull,SL_AOI_FAR_PLUS_0_25,bullish,react>=0.5,1,119.7,35.52,0.1362,6
rank2,comm|bear,SL_SIGNAL_CANDLE,bearish,hp>=0.7+opp<=1.0,2,51.2,39.41,0.1824,6
rank2,eur|bear,SL_SIGNAL_CANDLE_PLUS_0_25,bearish,zone!=disc+pay48>=-0.5,2,89.2,35.51,0.0757,5
rank2,eur|bull,SL_AOI_FAR,bullish,tc<=2+bars_rb<=5,2,77.0,37.01,0.15,6
rank2,jpy|bear,SL_ATR_0_5,bearish,imp>=1.0+bcl>=0.7,2,175.7,36.81,0.1044,6
rank2,jpy|bull,SL_AOI_FAR_PLUS_0_25,bullish,hph<=0.5,1,170.3,38.36,0.2397,6
rank2,usd|bull,SL_AOI_FAR_PLUS_0_25,bullish,react>=0.5,1,119.7,35.52,0.1362,6
rank3,comm|bear,SL_SIGNAL_CANDLE,bearish,hp>=0.7+opp<=1.0,2,51.2,39.41,0.1824,6
rank3,eur|bear,SL_SIGNAL_CANDLE_PLUS_0_25,bearish,zone!=disc+pay48>=-0.5,2,89.2,35.51,0.0757,5
rank3,eur|bull,SL_AOI_FAR,bullish,tc<=2+bars_rb<=2,2,66.7,37.5,0.1665,6
rank3,jpy|bear,SL_ATR_0_5,bearish,LON+NY,1,194.0,37.89,0.1366,6
rank3,jpy|bull,SL_AOI_FAR_PLUS_0_25,bullish,hph<=0.5,1,170.3,38.36,0.2397,6
rank3,usd|bull,SL_AOI_FAR_PLUS_0_25,bullish,react>=0.5,1,119.7,35.52,0.1362,6
rank4,comm|bear,SL_SIGNAL_CANDLE,bearish,hp>=0.7+opp<=1.0,2,51.2,39.41,0.1824,6
rank4,eur|bear,SL_SIGNAL_CANDLE_PLUS_0_25,bearish,zone!=disc+pay48>=-0.5,2,89.2,35.51,0.0757,5
rank4,eur|bull,SL_AOI_FAR,bullish,tc<=2+bars_rb<=5,2,77.0,37.01,0.15,6
rank4,jpy|bear,SL_ATR_0_5,bearish,LON+NY,1,194.0,37.89,0.1366,6
rank4,jpy|bull,SL_AOI_FAR_PLUS_0_25,bullish,hph<=0.5,1,170.3,38.36,0.2397,6
rank4,usd|bull,SL_AOI_FAR_PLUS_0_25,bullish,react>=0.5,1,119.7,35.52,0.1362,6
rank5,comm|bear,SL_SIGNAL_CANDLE,bearish,hp>=0.7+opp<=1.0,2,51.2,39.41,0.1824,6
rank5,eur|bear,SL_SIGNAL_CANDLE_PLUS_0_25,bearish,zone!=disc+pay48>=-0.5,2,89.2,35.51,0.0757,5
rank5,eur|bull,SL_AOI_FAR,bullish,tc<=2+bars_rb<=2,2,66.7,37.5,0.1665,6
rank5,gbp|bull,SL_ATR_2_0,bullish,sb>=-0.2+imp>=1.0,2,60.3,33.15,0.0766,5
rank5,jpy|bear,SL_ATR_0_5,bearish,imp>=1.0+bcl>=0.7,2,175.7,36.81,0.1044,6
rank5,jpy|bull,SL_AOI_FAR_PLUS_0_25,bullish,hph<=0.5,1,170.3,38.36,0.2397,6
rank5,usd|bull,SL_AOI_FAR_PLUS_0_25,bullish,react>=0.5,1,119.7,35.52,0.1362,6
