portfolio,cell,sl,dir,gates,tpy,win,exp
rank1,comm|bear,SL_SIGNAL_CANDLE,bearish,zone=prem+sb>=0.0,12.5,57.33,0.72
rank1,eur|bear,SL_SIGNAL_CANDLE_PLUS_0_25,bearish,hp>=0.5+tc<=2,17.7,42.45,0.3011
rank1,eur|bull,SL_AOI_FAR,bullish,hp<=0.3+opp<=0.4,17.8,46.73,0.4168
rank1,gbp|bear,SL_ATR_2_0,bearish,hp>=0.5+opp<=0.4,15.7,50.0,0.5621
rank1,jpy|bear,SL_ATR_0_5,bearish,imp>=2.0+bcl>=0.7,29.7,46.63,0.3989
rank1,usd|bull,SL_AOI_FAR_PLUS_0_25,bullish,sb>=0.2+react>=0.5,12.5,45.33,0.3783
rank2,comm|bear,SL_SIGNAL_CANDLE,bearish,zone=prem+sb>=0.0,12.5,57.33,0.72
rank2,eur|bull,SL_AOI_FAR,bullish,hp<=0.3+opp<=0.4,17.8,46.73,0.4168
rank2,gbp|bear,SL_ATR_2_0,bearish,hp>=0.5+opp<=0.4,15.7,50.0,0.5621
rank2,jpy|bear,SL_ATR_0_5,bearish,imp>=2.0+bcl>=0.7,29.7,46.63,0.3989
rank2,usd|bear,SL_ATR_2_0,bearish,sb>=0.5+al=3,19.3,42.24,0.3198
rank2,usd|bull,SL_AOI_FAR_PLUS_0_25,bullish,sb>=0.2+react>=0.5,12.5,45.33,0.3783
rank3,comm|bear,SL_SIGNAL_CANDLE,bearish,zone=prem+sb>=0.0,12.5,57.33,0.72
rank3,eur|bull,SL_AOI_FAR,bullish,hp<=0.3+opp<=0.4,17.8,46.73,0.4168
rank3,gbp|bear,SL_ATR_2_0,bearish,hp>=0.5+opp<=0.4,15.7,50.0,0.5621
rank3,jpy|bear,SL_ATR_0_5,bearish,imp>=2.0+bcl>=0.7,29.7,46.63,0.3989
rank3,usd|bear,SL_ATR_2_0,bearish,sb>=0.5+no_conf,19.3,42.24,0.3198
rank3,usd|bull,SL_AOI_FAR_PLUS_0_25,bullish,sb>=0.2+react>=0.5,12.5,45.33,0.3783
rank4,comm|bear,SL_SIGNAL_CANDLE,bearish,zone=prem+sb>=0.0,12.5,57.33,0.72
rank4,eur|bull,SL_AOI_FAR,bullish,hp<=0.3+opp<=0.4,17.8,46.73,0.4168
rank4,gbp|bear,SL_ATR_2_0,bearish,hp>=0.5+opp<=0.4,15.7,50.0,0.5621
rank4,jpy|bear,SL_ATR_0_5,bearish,imp>=2.0+bcl>=0.7,29.7,46.63,0.3989
rank4,jpy|bull,SL_ATR_2_0,bullish,zone=disc+obs>=2.0,35.0,42.86,0.3635
rank4,usd|bull,SL_AOI_FAR_PLUS_0_25,bullish,sb>=0.2+react>=0.5,12.5,45.33,0.3783
rank5,comm|bear,SL_SIGNAL_CANDLE,bearish,zone=prem+sb>=0.0,12.5,57.33,0.72
rank5,eur|bear,SL_SIGNAL_CANDLE_PLUS_0_25,bearish,hp>=0.5+tc<=2,17.7,42.45,0.3011
rank5,eur|bull,SL_AOI_FAR,bullish,zone=disc+opp<=0.4,16.2,46.39,0.3918
rank5,gbp|bear,SL_ATR_2_0,bearish,hp>=0.5+opp<=0.4,15.7,50.0,0.5621
rank5,jpy|bear,SL_ATR_0_5,bearish,imp>=2.0+bcl>=0.7,29.7,46.63,0.3989
rank5,usd|bull,SL_AOI_FAR_PLUS_0_25,bullish,sb>=0.2+react>=0.5,12.5,45.33,0.3783
