bear_hard,bull_hard,min_dir_score,min_uni_score,avail_bear,avail_bull,avail_uni,bear_features,bull_features,uni_features,bear_win,bear_tpy,bull_win,bull_tpy,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
tc<=3,sbias>=0.2+tc<=5,1,3,4,3,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,,,507,72.5,0.5266,0.5821,10,2.235
tc<=3,sbias>=0.2+tc<=5,2,3,4,3,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,,,420,60.0,0.5238,0.5741,8,2.212
tc<=3+dist>=0.21,sbias>=0.2+opp<=0.87,0,3,3,3,4,near<=0.32|range<=1.14|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,,,431,61.6,0.522,0.5687,10,2.196
tc<=3,sbias>=0.2,2,3,4,4,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,,,503,71.9,0.5209,0.5648,9,2.184
tc<=3,sbias>=0.2+opp<=0.87,1,3,4,3,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,,,511,73.0,0.5205,0.5638,10,2.181
tc<=3,sbias>=0.2+opp<=0.87,2,3,4,3,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,,,440,62.9,0.5205,0.5639,8,2.181
tc<=3,sbias>=0.2+opp<=0.87,0,3,4,3,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,,,521,74.5,0.5202,0.5626,10,2.177
tc<=3+dist>=0.21,sbias>=0.2,1,3,3,4,4,near<=0.32|range<=1.14|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,,,479,68.5,0.5198,0.5723,9,2.208
tc<=3+dist>=0.21,sbias>=0.2+tc<=5,0,3,3,3,4,near<=0.32|range<=1.14|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,,,437,62.5,0.5195,0.5724,10,2.208
tc<=3,sbias>=0.2,1,3,4,4,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,,,583,83.3,0.518,0.5646,11,2.184
