seed,sl_model,rr_multiple,group,window,extra_gate,n_hours,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor,type,portfolio_label,n_symbols,sym_windows,group_base
ATR1,SL_ATR_1_0,2.0,,,bars_between_retest_and_break<=2.000(p75),,736,105.2,0.4457,0.553,0.0014,0.3381,14,1.611,sym_portfolio_gated,ATR1_top8_+gate,8.0,"{'AUDUSD': 'ld_ny_overlap', 'EURNZD': 'london_open', 'GBPUSD': 'ny_afternoon', 'EURJPY': 'ny_open', 'GBPJPY': 'london_open', 'USDJPY': 'asia', 'CADJPY': 'london_open', 'NZDJPY': 'ny_open'}",
ATR1,SL_ATR_1_0,2.0,,,max_retest_penetration_atr<=1.167(p75),,726,103.8,0.4421,0.5565,0.0014,0.3276,10,1.589,sym_portfolio_gated,ATR1_top8_+gate,8.0,"{'AUDUSD': 'ld_ny_overlap', 'EURNZD': 'london_open', 'GBPUSD': 'ny_afternoon', 'EURJPY': 'ny_open', 'GBPJPY': 'london_open', 'USDJPY': 'asia', 'CADJPY': 'london_open', 'NZDJPY': 'ny_open'}",
ATR1,SL_ATR_1_0,2.0,,,distance_to_next_htf_obstacle_atr>=0.228(p25),,707,101.1,0.4413,0.5573,0.0014,0.3251,9,1.583,sym_portfolio_gated,ATR1_top8_+gate,8.0,"{'AUDUSD': 'ld_ny_overlap', 'EURNZD': 'london_open', 'GBPUSD': 'ny_afternoon', 'EURJPY': 'ny_open', 'GBPJPY': 'london_open', 'USDJPY': 'asia', 'CADJPY': 'london_open', 'NZDJPY': 'ny_open'}",
ATR1,SL_ATR_1_0,2.0,,,aoi_far_edge_atr>=1.439(p25),,733,104.8,0.4366,0.5634,0.0,0.3097,10,1.55,sym_portfolio_gated,ATR1_top8_+gate,8.0,"{'AUDUSD': 'ld_ny_overlap', 'EURNZD': 'london_open', 'GBPUSD': 'ny_afternoon', 'EURJPY': 'ny_open', 'GBPJPY': 'london_open', 'USDJPY': 'asia', 'CADJPY': 'london_open', 'NZDJPY': 'ny_open'}",
ATR1,SL_ATR_1_0,2.0,,,trend_age_impulses>=4.000(p25),,803,114.8,0.4346,0.5641,0.0012,0.3049,11,1.54,sym_portfolio_gated,ATR1_top8_+gate,8.0,"{'AUDUSD': 'ld_ny_overlap', 'EURNZD': 'london_open', 'GBPUSD': 'ny_afternoon', 'EURJPY': 'ny_open', 'GBPJPY': 'london_open', 'USDJPY': 'asia', 'CADJPY': 'london_open', 'NZDJPY': 'ny_open'}",
ATR1,SL_ATR_1_0,2.0,,,htf_range_size_high_atr>=30.512(p25),,782,111.8,0.4335,0.5665,0.0,0.3005,14,1.53,sym_portfolio_gated,ATR1_top8_+gate,8.0,"{'AUDUSD': 'ld_ny_overlap', 'EURNZD': 'london_open', 'GBPUSD': 'ny_afternoon', 'EURJPY': 'ny_open', 'GBPJPY': 'london_open', 'USDJPY': 'asia', 'CADJPY': 'london_open', 'NZDJPY': 'ny_open'}",
ATR1,SL_ATR_1_0,2.0,,,aoi_time_since_last_touch<=3.000(p75),,706,100.9,0.4334,0.5652,0.0014,0.3015,11,1.533,sym_portfolio_gated,ATR1_top8_+gate,8.0,"{'AUDUSD': 'ld_ny_overlap', 'EURNZD': 'london_open', 'GBPUSD': 'ny_afternoon', 'EURJPY': 'ny_open', 'GBPJPY': 'london_open', 'USDJPY': 'asia', 'CADJPY': 'london_open', 'NZDJPY': 'ny_open'}",
ATR1,SL_ATR_1_0,2.0,,,distance_from_last_impulse_atr<=1.831(p75),,711,101.6,0.4332,0.5654,0.0014,0.3008,13,1.532,sym_portfolio_gated,ATR1_top8_+gate,8.0,"{'AUDUSD': 'ld_ny_overlap', 'EURNZD': 'london_open', 'GBPUSD': 'ny_afternoon', 'EURJPY': 'ny_open', 'GBPJPY': 'london_open', 'USDJPY': 'asia', 'CADJPY': 'london_open', 'NZDJPY': 'ny_open'}",
ATR1,SL_ATR_1_0,2.0,,,recent_trend_payoff_atr_24h>=-2.282(p25),,710,101.5,0.4296,0.569,0.0014,0.2899,13,1.509,sym_portfolio_gated,ATR1_top8_+gate,8.0,"{'AUDUSD': 'ld_ny_overlap', 'EURNZD': 'london_open', 'GBPUSD': 'ny_afternoon', 'EURJPY': 'ny_open', 'GBPJPY': 'london_open', 'USDJPY': 'asia', 'CADJPY': 'london_open', 'NZDJPY': 'ny_open'}",
ATR1,SL_ATR_1_0,2.0,,,signal_candle_opposite_extreme_atr>=0.567(p25),,783,111.9,0.4291,0.5709,0.0,0.2874,13,1.503,sym_portfolio_gated,ATR1_top8_+gate,8.0,"{'AUDUSD': 'ld_ny_overlap', 'EURNZD': 'london_open', 'GBPUSD': 'ny_afternoon', 'EURJPY': 'ny_open', 'GBPJPY': 'london_open', 'USDJPY': 'asia', 'CADJPY': 'london_open', 'NZDJPY': 'ny_open'}",
