group,direction,zone,sl_model,hours,variant
gbp_crosses,bearish,premium,SL_ATR_0_5,"[0, 16, 17, 18, 19, 22, 23]",excl_20+21
eur_crosses,bullish,discount,SL_ATR_1_5,"[0, 1, 3, 4, 5]",excl_02
commodity,bearish,premium,SL_ATR_0_5,"[0, 1, 3, 4, 5, 18, 19, 20, 21, 22, 23]",excl_02
jpy_pairs,bullish,discount,SL_SIGNAL_CANDLE_PLUS_0_25,"[0, 1, 12, 13, 14]",exp_L0R2
jpy_pairs,bearish,discount,SL_ATR_0_5,"[6, 7, 8]",shift-1
jpy_pairs,bearish,premium,SL_ATR_1_0,"[4, 5, 6, 7, 8]",excl_09+10
commodity,bullish,discount,SL_ATR_1_0,"[0, 1, 2, 3, 4, 5, 6, 21]",excl_22+23
usd_majors,bearish,discount,SL_AOI_NEAR_PLUS_0_25,"[14, 15, 18]",excl_16+17
eur_crosses,bearish,premium,SL_AOI_FAR,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",shrk_L1R2
gbp_crosses,bullish,discount,SL_SIGNAL_CANDLE_PLUS_0_25,"[0, 1, 5, 6, 7, 8, 9, 10]",exp_L0R2
jpy_pairs,bullish,premium,SL_AOI_NEAR_PLUS_0_25,"[4, 5, 6]",
gbp_crosses,bearish,discount,SL_ATR_1_0,"[2, 3, 4, 22, 23]",excl_00+01
eur_crosses,bullish,premium,SL_AOI_NEAR_PLUS_0_5,"[5, 6, 9]",excl_07+08
usd_majors,bearish,premium,SL_SIGNAL_CANDLE,"[1, 16, 17, 18, 19, 20, 21, 22]",excl_23+00
usd_majors,bullish,premium,SL_ATR_0_5,"[6, 7, 8]",
gbp_crosses,bullish,premium,SL_ATR_2_0,"[12, 14, 15]",excl_13
commodity,bearish,discount,SL_ATR_2_0,"[1, 2, 3, 4, 5, 7, 8, 9]",excl_06
usd_majors,bullish,discount,SL_SIGNAL_CANDLE,"[0, 1, 12, 13, 14, 15]",exp_L0R2
commodity,bullish,premium,SL_ATR_0_5,"[21, 22, 23]",shift-1
eur_crosses,bearish,discount,SL_AOI_NEAR_PLUS_0_5,"[0, 17, 18, 21, 22, 23]",excl_19+20
