seed,sl_model,rr_multiple,sym_filter,window,n_feature_gates,gates,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h12-14(3h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h12-14(3h),717,102.5,0.3933,0.6039,0.0028,0.1837,9,1.304
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h13-15(3h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h13-15(3h),721,103.1,0.387,0.6117,0.0014,0.1634,11,1.267
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h12-15(4h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h12-15(4h),929,132.8,0.3864,0.6114,0.0022,0.1622,12,1.265
ATR1_H8,SL_ATR_1_0,2.0,ALL,h08,1,break_close_location<=0.921 & win:h08,740,105.8,0.3797,0.6203,0.0,0.1392,15,1.224
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h12-14(3h),0,sym:jpy_pairs & win:h12-14(3h),945,135.1,0.3757,0.6085,0.0159,0.1579,16,1.259
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,h06-09(4h),1,break_close_location<=0.921 & sym:nzd_bloc & win:h06-09(4h),727,103.9,0.3728,0.6272,0.0,0.1183,17,1.189
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,h08-11(4h),1,break_close_location<=0.921 & sym:nzd_bloc & win:h08-11(4h),705,100.8,0.366,0.634,0.0,0.0979,13,1.154
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h06-09(4h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h06-09(4h),853,121.9,0.3658,0.6342,0.0,0.0973,15,1.153
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h06-08(3h),0,sym:jpy_pairs & win:h06-08(3h),813,116.2,0.3653,0.6347,0.0,0.0959,14,1.151
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h12-15(4h),1,break_close_location<=0.921 & sym:high_vol & win:h12-15(4h),847,121.1,0.3648,0.634,0.0012,0.0955,13,1.151
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,h07-09(3h),0,sym:nzd_bloc & win:h07-09(3h),716,102.4,0.3645,0.6355,0.0,0.0936,17,1.147
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h12-15(4h),0,sym:jpy_pairs & win:h12-15(4h),1219,174.3,0.3642,0.6218,0.0139,0.1198,18,1.193
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h13-15(3h),0,sym:jpy_pairs & win:h13-15(3h),928,132.7,0.3642,0.6239,0.0119,0.1154,13,1.185
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,london,1,break_close_location<=0.921 & sym:nzd_bloc & win:london,1071,153.1,0.3632,0.6368,0.0,0.0896,16,1.141
